序号,开课单位,课程名称,课程时长,课程负载,内容类型,课程分类,参加人数,课程链接
191,吉林大学,物理学导论,11周,2~3小时每周,视频 文档 富文本 讨论,理学,1356,http://www.icourse163.org/course/JLU-1001633003
192,吉林大学,大学英语过程写作,8周,2小时每周,视频 文档 随堂测验 讨论,外语,20323,http://www.icourse163.org/course/JLU-1001553026
193,吉林大学,计算机网络技术,10周,1-2小时每周,视频 文档,计算机,16260,http://www.icourse163.org/course/JLU-1001540001
194,吉林大学,高级语言程序设计,16周,3-5小时每周,视频 文档 随堂测验 讨论,计算机,4536,http://www.icourse163.org/course/JLU-62001
195,吉林大学,汽车行走的艺术,15周,2-3小时每周,视频 随堂测验 富文本 讨论,工学,2554,http://www.icourse163.org/course/JLU-33007
196,吉林大学,人文视野中的生态学,13周,3小时/周,视频 文档 随堂测验 富文本 讨论,生命科学,1590,http://www.icourse163.org/course/JLU-33009
197,吉林大学,奇异的仿生学,14周,3,视频 文档 随堂测验 富文本 讨论,生命科学,2657,http://www.icourse163.org/course/JLU-32007
198,吉林大学,物理与人类生活,11周,2~3小时每周,视频 文档 随堂测验 富文本 讨论,理学,1426,http://www.icourse163.org/course/JLU-32006
199,哈尔滨工业大学,无机化学（I）,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,7903,http://www.icourse163.org/course/HIT-153004
200,哈尔滨工业大学,无机化学-物质结构基础,8周,5,视频 文档 随堂测验 富文本 讨论,理学,4967,http://www.icourse163.org/course/HIT-154006
201,哈尔滨工业大学,设计之美,8周,3小时每周,视频 文档 随堂测验 讨论,艺术设计,10575,http://www.icourse163.org/course/HIT-1002330003
202,哈尔滨工业大学,电机学,12周,4小时每周,视频,工学,3976,http://www.icourse163.org/course/HIT-1002267006
203,哈尔滨工业大学,嵌入式系统原理及应用,8周,4小时每周,视频,工学,5924,http://www.icourse163.org/course/HIT-1002246015
204,哈尔滨工业大学,微积分CAP,11周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,13488,http://www.icourse163.org/course/HIT-1001616001
205,哈尔滨工业大学,程序设计基础CAP,6周,2,视频 文档 随堂测验 讨论,计算机,10689,http://www.icourse163.org/course/HIT-1001614003
206,哈尔滨工业大学,高级语言程序设计（Python）CAP,7周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,29478,http://www.icourse163.org/course/HIT-1001616002
207,哈尔滨工业大学,大学计算机—计算思维导论CAP,12周,3-53-5小时每周,视频 文档 随堂测验 讨论,计算机,9532,http://www.icourse163.org/course/HIT-1001617006
208,哈尔滨工业大学,无机化学CAP,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,5446,http://www.icourse163.org/course/HIT-1002057027
209,哈尔滨工业大学,自我塑造：优雅做人,8周,3小时每周,视频 文档 讨论,教育教学,16394,http://www.icourse163.org/course/HIT-1002208027
210,哈尔滨工业大学,大学物理Ⅱ——热学,4周,2-4小时每周,视频 文档,理学,2673,http://www.icourse163.org/course/HIT-1002203003
211,哈尔滨工业大学,数学竞赛选讲,18周,1-3小时每周,视频 文档 随堂测验 富文本 讨论,理学,5817,http://www.icourse163.org/course/HIT-1002155003
212,哈尔滨工业大学,创业3+3,9周,3小时每周,视频,经济管理,5035,http://www.icourse163.org/course/HIT-1002124004
213,哈尔滨工业大学,编译原理,10周,3-5小时每周,视频 随堂测验,计算机,9577,http://www.icourse163.org/course/HIT-1002123007
214,哈尔滨工业大学,线性代数与空间解析几何,25周,3-4 小时每周,视频 文档 随堂测验 富文本 讨论,理学,18942,http://www.icourse163.org/course/HIT-1002117005
215,哈尔滨工业大学,互换性与测量技术基础,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,2300,http://www.icourse163.org/course/HIT-1002028013
216,哈尔滨工业大学,生活心理学,12周,2-3小时每周,视频 文档 随堂测验 讨论,心理学,45066,http://www.icourse163.org/course/HIT-1002032006
217,哈尔滨工业大学,电工学,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,9674,http://www.icourse163.org/course/HIT-1001998009
218,哈尔滨工业大学,电路（上）,12周,3-5小时每周,视频 文档 随堂测验 讨论,工学,3652,http://www.icourse163.org/course/HIT-1001998008
219,哈尔滨工业大学,水分析化学,12周,4小时每周,视频 随堂测验,理学,1489,http://www.icourse163.org/course/HIT-1001979010
220,哈尔滨工业大学,中级财务会计（二）,15周,1-2小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,11012,http://www.icourse163.org/course/HIT-1001962031
221,哈尔滨工业大学,材料力学,17周,3-4小时每周,视频 文档 随堂测验 讨论,工学,5215,http://www.icourse163.org/course/HIT-1001516005
222,哈尔滨工业大学,理论力学,15周,3-6小时每周,视频 文档 随堂测验 讨论,工学,16428,http://www.icourse163.org/course/HIT-1001516003
223,哈尔滨工业大学,天线原理,12周,3-5小时每周,视频 文档,工学,2471,http://www.icourse163.org/course/HIT-1001515004
224,哈尔滨工业大学,大学物理（力学）,9周,1-3小时每周,视频 文档 随堂测验 讨论,理学,3401,http://www.icourse163.org/course/HIT-154003
225,哈尔滨工业大学,微电子工艺,13周,3-5,视频 文档 随堂测验 富文本 讨论,工学,2949,http://www.icourse163.org/course/HIT-154002
226,哈尔滨工业大学,诺奖作家英文作品赏析,8周,3-5小时每周,视频 文档 随堂测验,外语,12795,http://www.icourse163.org/course/HIT-1001773023
227,哈尔滨工业大学,新科学家英语：演讲与写作,12周,1-2小时每周,视频 文档 随堂测验 富文本 讨论,外语,15502,http://www.icourse163.org/course/HIT-1001745011
228,哈尔滨工业大学,微积分（四）,18周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,4351,http://www.icourse163.org/course/HIT-364001
229,哈尔滨工业大学,微积分（三）,18周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,4834,http://www.icourse163.org/course/HIT-289001
230,哈尔滨工业大学,微积分（二）,18周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,8414,http://www.icourse163.org/course/HIT-207002
231,哈尔滨工业大学,微积分（一）,18周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,16491,http://www.icourse163.org/course/HIT-153001
232,哈尔滨工业大学,数据库系统（下）：管理与技术,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,7146,http://www.icourse163.org/course/HIT-1001578001
233,哈尔滨工业大学,数据库系统（中）：建模与设计,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,8288,http://www.icourse163.org/course/HIT-1001554030
234,哈尔滨工业大学,数据库系统（上）：模型与语言,13周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,12533,http://www.icourse163.org/course/HIT-1001516002
235,哈尔滨工业大学,建筑设计空间基础认知,18周,3小时每周,视频 富文本 讨论,艺术设计,11537,http://www.icourse163.org/course/HIT-1001700025
236,哈尔滨工业大学,成功心理与人才发展,6周,1-2小时每周,视频,心理学,11327,http://www.icourse163.org/course/HIT-1001669001
237,哈尔滨工业大学,管理沟通：思维与技能,16周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,经济管理/心理学,28009,http://www.icourse163.org/course/HIT-1001566010
238,哈尔滨工业大学,中国传统艺术——篆刻、书法、水墨画体验与欣赏,9周,1-2,视频 文档 随堂测验 讨论,艺术设计,11793,http://www.icourse163.org/course/HIT-1001515006
239,哈尔滨工业大学,高等数学习题课（二）,10周,3-5周,视频 文档 随堂测验 富文本 讨论,理学,15535,http://www.icourse163.org/course/HIT-1001572001
240,哈尔滨工业大学,高等数学习题课（一）,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,6044,http://www.icourse163.org/course/HIT-431001
241,哈尔滨工业大学,中级财务会计（一）,16周,1-2小时每周,视频 文档 随堂测验 讨论,经济管理,12773,http://www.icourse163.org/course/HIT-1001516004
242,哈尔滨工业大学,计算机组成原理（下）,19周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,12006,http://www.icourse163.org/course/HIT-1001527001
243,哈尔滨工业大学,沟通心理学,8周,1小时每周,视频 文档 随堂测验 讨论,心理学,37644,http://www.icourse163.org/course/HIT-1001515007
244,哈尔滨工业大学,大学生职业能力拓展,5周,1-2小时每周,视频,教育教学,3015,http://www.icourse163.org/course/HIT-1001515005
245,哈尔滨工业大学,物理光学,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,4833,http://www.icourse163.org/course/HIT-1001515003
246,哈尔滨工业大学,概率论与数理统计,13周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,12569,http://www.icourse163.org/course/HIT-1001518002
247,哈尔滨工业大学,计算机组成原理（上）,19周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,21485,http://www.icourse163.org/course/HIT-309001
248,哈尔滨工业大学,计算机专业导论,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,10237,http://www.icourse163.org/course/HIT-437006
249,哈尔滨工业大学,算法设计与分析入门,10周,5小时每周,视频 文档 随堂测验 讨论,计算机,16135,http://www.icourse163.org/course/HIT-356006
250,哈尔滨工业大学,单片机原理及应用,8周,2小时每周,视频 文档 随堂测验 讨论,工学,19986,http://www.icourse163.org/course/HIT-353001
251,哈尔滨工业大学,软件工程专业导论,14周,3-4小时每周,视频 文档 随堂测验 讨论,计算机,6386,http://www.icourse163.org/course/HIT-298007
252,哈尔滨工业大学,自我塑造：成功五要素,6周,3小时每周,视频 文档 讨论,教育教学,6174,http://www.icourse163.org/course/HIT-153005
253,哈尔滨工业大学,数字电子技术基础,16周,4-6小时每周,视频 文档 讨论,工学,12490,http://www.icourse163.org/course/HIT-254001
254,哈尔滨工业大学,国际交流英语,12周,1-2小时每周,视频 文档 随堂测验 讨论,外语,29182,http://www.icourse163.org/course/HIT-153003
255,哈尔滨工业大学,计算机网络,16周,2-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,26302,http://www.icourse163.org/course/HIT-154005
256,哈尔滨工业大学,大学计算机—计算思维导论,15周,4小时每周,视频 文档 随堂测验 富文本 讨论,计算机,36892,http://www.icourse163.org/course/HIT-7001
257,哈尔滨工业大学,C语言程序设计精髓,15周,2,视频 随堂测验 讨论,计算机,29600,http://www.icourse163.org/course/HIT-69005
258,哈尔滨工业大学,程序设计基础,6周,2,视频 随堂测验 讨论,计算机,8766,http://www.icourse163.org/course/HIT-56001
259,哈尔滨工业大学,高级语言程序设计（Python）,13周,3-5小时/周,视频 随堂测验 富文本 讨论,计算机,20379,http://www.icourse163.org/course/HIT-9003
260,哈尔滨工业大学,大数据算法,10周,3-5小时/周,视频 文档 随堂测验 富文本 讨论,计算机,49987,http://www.icourse163.org/course/HIT-10001
261,东北大学,人因工程学,14周,2-4小时每周,视频 文档 随堂测验 讨论,经济管理,1282,http://www.icourse163.org/course/NEU-1002267003
262,东北大学,计算机组成原理,10周,3-5小时每周,视频 文档 随堂测验 讨论,计算机,5866,http://www.icourse163.org/course/NEU-1002249011
263,东北大学,大学物理（电磁学、光学、相对论）,16周,3.5,视频 文档 随堂测验 富文本 讨论,理学,16795,http://www.icourse163.org/course/NEU-1001806008
264,东北大学,大学物理（力学、振动波、热学、量子基础）,16周,3.5,视频 文档 随堂测验 富文本 讨论,理学,7512,http://www.icourse163.org/course/NEU-1001774015
265,东北大学,高级语言程序设计,待定周,待定,视频 文档 随堂测验 富文本 讨论,计算机,5128,http://www.icourse163.org/course/NEU-1002123005
266,东北大学,大学计算机--Python算法实践,8周,4小时每周,视频 文档 随堂测验 富文本 讨论,计算机,7403,http://www.icourse163.org/course/NEU-1002127001
267,东北大学,计算机硬件技术基础,14周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,4810,http://www.icourse163.org/course/NEU-1002125002
268,东北大学,文化管理学,待定周,待定,视频 文档 随堂测验 讨论,经济管理,1212,http://www.icourse163.org/course/NEU-1002109002
269,东北大学,冶金资源综合利用与环境保护,12周,3.5小时,视频 随堂测验 讨论,工学,716,http://www.icourse163.org/course/NEU-1002087008
270,东北大学,数值分析,12周,4小时每周,视频 文档 随堂测验 富文本 讨论,理学,9334,http://www.icourse163.org/course/NEU-1002089009
271,东北大学,跨文化交流,8周,3小时/周,视频 文档 随堂测验 富文本 讨论,外语,8967,http://www.icourse163.org/course/NEU-1002083024
272,东北大学,足球裁判法,11周,1小时每周,视频 文档 随堂测验 富文本 讨论,生命科学/教育教学,3897,http://www.icourse163.org/course/NEU-1002081019
273,东北大学,电工学,20周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,7242,http://www.icourse163.org/course/NEU-1002083015
274,东北大学,物理与人类未来,,每周1-2小时,视频 文档 随堂测验 富文本 讨论,理学,209,http://www.icourse163.org/course/NEU-1002058020
275,东北大学,软件工程,20周,4,视频 文档 随堂测验 富文本 讨论,计算机,12016,http://www.icourse163.org/course/NEU-1001812013
276,东北大学,工业生态学,12周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,工学/生命科学,1572,http://www.icourse163.org/course/NEU-1001773021
